Ingredients,Potential Allergies,Potential Diseases,Halal/Haram
Asparagus,No,No,Halal
Bell Pepper,No,No,Halal
Broccoli,No,No,Halal
Carrot,No,No,Halal
Cauliflower,No,No,Halal
Celery,No,No,Halal
Cucumber,No,No,Halal
Green (Snap) Beans,No,No,Halal
Green Cabbage,No,Gout,Halal
Green Onion,No,No,Halal
Iceberg Lettuce,No,No,Halal
Leaf Lettuce,No,No,Halal
Mushrooms,No,Gout,Halal
Onion,No,No,Halal
Potato,No,No,Halal
Radishes,No,No,Halal
Summer Squash,No,No,Halal
Sweet Corn,No,No,Halal
Sweet Potato,No,No,Halal
Tomato,No,No,Halal
Apple,No,No,Halal
Avocado,No,Diabetes,Halal
Banana,No,No,Halal
Cantaloupe,No,No,Halal
Grapefruit,No,No,Halal
Grapes,No,No,Halal
Honeydew Melon,No,No,Halal
Kiwifruit,No,No,Halal
Lemon,No,No,Halal
Lime,No,No,Halal
Nectarine,No,No,Halal
Orange,No,No,Halal
Peach,No,No,Halal
Pear,No,No,Halal
Pineapple,No,No,Halal
Plum,No,No,Halal
Strawberries,No,No,Halal
Sweet Cherries,No,No,Halal
Tangerine,No,No,Halal
Watermelon,No,No,Halal
Blue Crab,Seafood Allergy,Cholesterol,Halal
Catfish,Seafood Allergy,Hypertension,Halal
Clams,Seafood Allergy,"Cholesterol, Gout",Halal
Cod,Seafood Allergy,No,Halal
Flounder/Sole,Seafood Allergy,No,Halal
Haddock,Seafood Allergy,No,Halal
Halibut,Seafood Allergy,No,Halal
Lobster,Seafood Allergy,Cholesterol,Halal
Ocean Perch,Seafood Allergy,No,Halal
Orange Roughy,Seafood Allergy,No,Halal
Pollock,Seafood Allergy,No,Halal
Rainbow Trout,Seafood Allergy,No,Halal
Rockfish,Seafood Allergy,No,Halal
Scallops,Seafood Allergy,"Cholesterol, Gout",Halal
Shrimp,Seafood Allergy,"Cholesterol, Gout",Halal
Swordfish,Seafood Allergy,No,Halal
Tilapia,Seafood Allergy,No,Halal
Amaranth Seed Black,No,No,Halal
Amaranth Seed Pale Brown,No,No,Halal
Bajra,No,No,Halal
Barley,No,No,Halal
Jowar,No,No,Halal
Maize Dry,No,No,Halal
Maize Tender Local,No,No,Halal
Maize Tender Sweet,No,No,Halal
Quinoa,No,No,Halal
Ragi,No,No,Halal
Rice Flakes,No,Diabetes,Halal
Rice Puffed,No,Diabetes,Halal
Rice Raw Brown,No,No,Halal
Rice Parboiled Milled,No,Diabetes,Halal
Rice Raw Milled,No,Diabetes,Halal
Samai,No,No,Halal
Varagu,No,No,Halal
Wheat Flour Refined,Gluten Allergy,No,Halal
Wheat Flour Atta,Gluten Allergy,No,Halal
Wheat Whole,Gluten Allergy,No,Halal
Wheat Bulgur,Gluten Allergy,No,Halal
Wheat Semolina,Gluten Allergy,No,Halal
Wheat Vermicelli,Gluten Allergy,No,Halal
Wheat Vermicelli Roasted,Gluten Allergy,No,Halal
Bengal Gram Dal,Legume Allergy,No,Halal
Bengal Gram Whole,Legume Allergy,No,Halal
Black Gram Dal,Legume Allergy,No,Halal
Black Gram Whole,Legume Allergy,No,Halal
Cowpea Brown,Legume Allergy,No,Halal
Cowpea White,Legume Allergy,No,Halal
Field Bean Black,Legume Allergy,Gout,Halal
Field Bean Brown,Legume Allergy,Gout,Halal
Field Bean White,Legume Allergy,Gout,Halal
Green Gram Dal,Legume Allergy,No,Halal
Green Gram Whole,Legume Allergy,No,Halal
Horse Gram Whole,Legume Allergy,No,Halal
Lentil Dal,Legume Allergy,No,Halal
Lentil Whole Brown,Legume Allergy,No,Halal
Lentil Whole Yellowish,Legume Allergy,No,Halal
Moth Bean,Legume Allergy,Gout,Halal
Peas Dry,Legume Allergy,No,Halal
Rajmah Black,Legume Allergy,No,Halal
Rajmah Brown,Legume Allergy,No,Halal
Rajmah Red,Legume Allergy,No,Halal
Red Gram Dal,Legume Allergy,No,Halal
Red Gram Whole,Legume Allergy,No,Halal
Ricebean,Legume Allergy,No,Halal
Soya Bean Brown,No,Gout,Halal
Soya Bean White,No,Gout,Halal
Agathi Leaves,No,No,Halal
Amaranth Leaves Green,No,No,Halal
Amaranth Leaves Red,No,No,Halal
Amaranth Leaves Red And Green Mix,No,No,Halal
Amaranth SpiNous Leaves Green,No,No,Halal
Amaranth SpiNous Leaves Red And Green Mix,No,No,Halal
Basella Leaves,No,No,Halal
Bathua Leaves,No,No,Halal
Beet Greens,No,No,Halal
Betel Leaves Big,No,No,Halal
Betel Leaves Small,No,No,Halal
Brussels Sprouts,No,No,Halal
Cabbage Chinese,No,Gout,Halal
Cabbage Collard Greens,No,Gout,Halal
Cabbage Green,No,Gout,Halal
Cabbage Violet,No,Gout,Halal
Cauliflower Leaves,No,No,Halal
Colocasia Leaves Green,No,No,Halal
Drumstick Leaves,No,No,Halal
Fenugreek Leaves,No,No,Halal
Garden Cress,No,No,Halal
Gogu Leaves Green,No,No,Halal
Gogu Leaves Red,No,No,Halal
Knol-Khol Leaves,No,No,Halal
Lettuce,No,No,Halal
Mustard Leaves,No,No,Halal
Pak Choi Leaves,No,No,Halal
Parsley,No,No,Halal
Ponnaganni,No,No,Halal
Pumpkin Leaves Tender,No,No,Halal
Radish Leaves,No,No,Halal
Rumex Leaves,No,No,Halal
Spinach,No,No,Halal
Tamarind Leaves Tender,No,No,Halal
Ash Gourd,No,No,Halal
Bamboo Shoot Tender,No,No,Halal
Bean Scarlet Tender,Legume Allergy,No,Halal
Bitter Gourd Jagged Teeth Ridges Elongate,No,No,Halal
Bitter Gourd Jagged Teeth Ridges Short,No,No,Halal
Bitter Gourd Jagged Smooth Ridges Elongate,No,No,Halal
Bottle Gourd Elongate Pale Green,No,No,Halal
Bottle Gourd Round Pale Green,No,No,Halal
Bottle Gourd Elongate Dark Green,No,No,Halal
